UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
13:48:53,43f2d6433bb7,geo-diff-work_admin-worker,0.21%,22911385,419430400,5.46%,1530,972,6170000,0,5
13:48:53,036ae4d03066,geo-diff-work_rabbitmq-server,49.81%,126143692,536870912,23.49%,1970,978,25500000,0,103
13:48:53,8826c50a4680,geo-diff-work_updater,0.00%,12006195,209715200,5.72%,1520,410,987000,0,2
13:48:53,9b3810eaa86c,geo-diff-work_updater,0.00%,11639193,209715200,5.55%,1410,368,20500,0,2
13:48:53,a40b352a620e,geo-diff-work_dealer,0.00%,70244106,209715200,33.49%,988,232,44600000,0,2
13:49:01,43f2d6433bb7,geo-diff-work_admin-worker,0.21%,23058186,419430400,5.50%,3470,2390,6170000,0,5
13:49:01,036ae4d03066,geo-diff-work_rabbitmq-server,50.14%,144913203,536870912,26.99%,6880,4700,37600000,12300,86
13:49:01,8826c50a4680,geo-diff-work_updater,0.00%,12792627,209715200,6.10%,2580,642,1210000,0,2
13:49:01,9b3810eaa86c,geo-diff-work_updater,0.00%,12247367,209715200,5.84%,2510,642,20500,0,2
13:49:01,a40b352a620e,geo-diff-work_dealer,0.00%,66154659,209715200,31.55%,2020,316,44600000,0,2
13:49:08,43f2d6433bb7,geo-diff-work_admin-worker,0.91%,23624417,419430400,5.63%,6080,5540,6170000,0,5
13:49:08,036ae4d03066,geo-diff-work_rabbitmq-server,1.23%,127926272,536870912,23.83%,271000,52400,48300000,119000,86
13:49:08,8826c50a4680,geo-diff-work_updater,0.51%,13012828,209715200,6.21%,4520,2570,1210000,0,2
13:49:08,9b3810eaa86c,geo-diff-work_updater,0.51%,12352225,209715200,5.89%,4320,2570,20500,0,2
13:49:08,a40b352a620e,geo-diff-work_dealer,0.00%,61478010,209715200,29.31%,2130,464,44600000,0,2
13:49:16,43f2d6433bb7,geo-diff-work_admin-worker,16.48%,23215472,419430400,5.53%,124000,31300,6170000,0,5
13:49:16,036ae4d03066,geo-diff-work_rabbitmq-server,28.83%,230162432,536870912,42.87%,85800000,82000000,63000000,82400000,86
13:49:16,8826c50a4680,geo-diff-work_updater,14.32%,15948840,209715200,7.61%,36700000,61400,1620000,0,2
13:49:16,9b3810eaa86c,geo-diff-work_updater,15.85%,13558087,209715200,6.46%,29200000,53000,20500,0,2
