UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
13:48:51,063a99d4ad2c,geo-diff-work_worker,0.00%,24830279,419430400,5.92%,1310,410,20500,0,2
13:48:51,217fb35fec7a,geo-diff-work_worker,0.00%,24809308,419430400,5.92%,1200,368,0,0,2
13:48:59,063a99d4ad2c,geo-diff-work_worker,0.00%,25396510,419430400,6.05%,1700,642,20500,0,2
13:48:59,217fb35fec7a,geo-diff-work_worker,0.00%,25375539,419430400,6.05%,1630,642,0,0,2
13:49:07,063a99d4ad2c,geo-diff-work_worker,0.50%,25501368,419430400,6.08%,3460,2300,20500,0,2
13:49:07,217fb35fec7a,geo-diff-work_worker,0.00%,25375539,419430400,6.05%,1740,684,0,0,2
13:49:14,063a99d4ad2c,geo-diff-work_worker,11.56%,29066526,419430400,6.93%,414000,3810000,20500,0,3
13:49:14,217fb35fec7a,geo-diff-work_worker,11.62%,29035069,419430400,6.92%,225000,2230000,0,0,2
13:49:22,9ad27318b686,geo-diff-work_worker,12.54%,28196208,419430400,6.72%,154000,2260000,0,0,2
13:49:22,063a99d4ad2c,geo-diff-work_worker,13.33%,29265756,419430400,6.98%,992000,13000000,20500,0,2
13:49:22,217fb35fec7a,geo-diff-work_worker,9.37%,29129441,419430400,6.95%,915000,11600000,0,0,2
13:49:29,9ad27318b686,geo-diff-work_worker,9.47%,28458352,419430400,6.79%,689000,11200000,0,0,2
13:49:29,063a99d4ad2c,geo-diff-work_worker,11.22%,29496442,419430400,7.03%,1490000,21000000,20500,0,2
13:49:29,217fb35fec7a,geo-diff-work_worker,0.00%,29328670,419430400,6.99%,1490000,21100000,0,0,2
13:49:37,9ad27318b686,geo-diff-work_worker,13.11%,28877783,419430400,6.88%,1430000,21300000,0,0,2
13:49:44,9ad27318b686,geo-diff-work_worker,15.30%,29150412,419430400,6.95%,2140000,29700000,0,0,2
13:49:50,9ad27318b686,geo-diff-work_worker,13.76%,29181870,419430400,6.96%,2930000,38300000,0,0,2
13:49:57,9ad27318b686,geo-diff-work_worker,16.04%,29234298,419430400,6.97%,3630000,46100000,0,0,3
13:50:03,43978a96ff0c,geo-diff-work_worker,10.75%,28049408,419430400,6.69%,128000,1800000,0,0,3
13:50:03,9ad27318b686,geo-diff-work_worker,0.00%,29360128,419430400,7.00%,4160000,55500000,0,0,2
