UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
15:24:19,7c4a4c5d61f3,geo-diff-work_worker,0.00%,30062673,419430400,7.17%,1270,368,26700000,0,2
15:24:19,917bdb4bcc11,geo-diff-work_worker,0.00%,31635537,419430400,7.54%,1200,368,28100000,0,2
15:24:27,7c4a4c5d61f3,geo-diff-work_worker,0.00%,30765219,419430400,7.33%,1630,642,26900000,0,2
15:24:27,917bdb4bcc11,geo-diff-work_worker,0.00%,32285655,419430400,7.70%,1700,642,28200000,0,2
15:24:35,7c4a4c5d61f3,geo-diff-work_worker,0.00%,30765219,419430400,7.33%,1740,684,26900000,0,2
15:24:35,917bdb4bcc11,geo-diff-work_worker,0.00%,32285655,419430400,7.70%,1740,684,28200000,0,2
15:24:42,7c4a4c5d61f3,geo-diff-work_worker,0.00%,30859591,419430400,7.36%,3460,2300,26900000,0,2
15:24:42,917bdb4bcc11,geo-diff-work_worker,0.00%,32390512,419430400,7.72%,3530,2100,28200000,0,2
15:24:50,7c4a4c5d61f3,geo-diff-work_worker,0.00%,30859591,419430400,7.36%,3530,2300,26900000,0,2
15:24:50,917bdb4bcc11,geo-diff-work_worker,0.00%,32390512,419430400,7.72%,3530,2100,28200000,0,2
15:24:57,7c4a4c5d61f3,geo-diff-work_worker,0.00%,30859591,419430400,7.36%,3530,2300,26900000,0,2
15:24:57,917bdb4bcc11,geo-diff-work_worker,0.00%,32390512,419430400,7.72%,3530,2100,28200000,0,2
15:25:05,7c4a4c5d61f3,geo-diff-work_worker,0.00%,30859591,419430400,7.36%,3530,2300,26900000,0,2
15:25:05,917bdb4bcc11,geo-diff-work_worker,0.00%,32390512,419430400,7.72%,3530,2100,28200000,0,2
15:25:13,7c4a4c5d61f3,geo-diff-work_worker,1.90%,34529607,419430400,8.23%,420000,6430000,29100000,0,2
15:25:13,917bdb4bcc11,geo-diff-work_worker,0.00%,35955671,419430400,8.57%,325000,5670000,31600000,0,2
15:25:20,7c4a4c5d61f3,geo-diff-work_worker,15.72%,34802237,419430400,8.30%,1040000,16300000,29100000,0,2
15:25:20,917bdb4bcc11,geo-diff-work_worker,11.46%,36060528,419430400,8.60%,742000,12900000,31600000,0,2
15:25:28,7c4a4c5d61f3,geo-diff-work_worker,12.41%,35011952,419430400,8.35%,1720000,25600000,29100000,0,2
15:25:28,917bdb4bcc11,geo-diff-work_worker,13.13%,36396072,419430400,8.68%,1390000,22800000,31600000,0,2
15:25:35,7c4a4c5d61f3,geo-diff-work_worker,3.93%,35337011,419430400,8.42%,2160000,30600000,29100000,0,2
15:25:35,917bdb4bcc11,geo-diff-work_worker,0.00%,36584816,419430400,8.72%,1880000,29000000,31600000,0,2
15:25:43,7c4a4c5d61f3,geo-diff-work_worker,14.42%,35410411,419430400,8.44%,2990000,39000000,29100000,0,3
15:25:43,917bdb4bcc11,geo-diff-work_worker,14.57%,36815503,419430400,8.78%,2490000,36100000,31600000,0,3
15:25:51,7c4a4c5d61f3,geo-diff-work_worker,0.00%,35536240,419430400,8.47%,3440000,44000000,29100000,0,2
15:25:51,917bdb4bcc11,geo-diff-work_worker,0.98%,36878417,419430400,8.79%,3090000,42700000,31600000,0,2
15:25:58,7c4a4c5d61f3,geo-diff-work_worker,13.96%,35756441,419430400,8.53%,4179999,53000000,29100000,0,2
15:25:58,917bdb4bcc11,geo-diff-work_worker,14.54%,37014732,419430400,8.83%,3610000,49100000,31600000,0,2
15:26:06,7c4a4c5d61f3,geo-diff-work_worker,0.03%,35777413,419430400,8.53%,4640000,60500000,29100000,0,2
15:26:06,917bdb4bcc11,geo-diff-work_worker,11.72%,37172019,419430400,8.86%,4090000,57300000,31600000,0,2
15:26:13,7c4a4c5d61f3,geo-diff-work_worker,11.86%,35777413,419430400,8.53%,5160000,68100000,29100000,0,2
15:26:13,917bdb4bcc11,geo-diff-work_worker,10.11%,37371248,419430400,8.91%,4440000,62900000,31600000,0,2
15:26:21,7c4a4c5d61f3,geo-diff-work_worker,6.37%,35903242,419430400,8.56%,5770000,74900000,29100000,0,2
15:26:21,917bdb4bcc11,geo-diff-work_worker,14.62%,37570478,419430400,8.96%,5160000,71900000,31600000,0,2
15:26:29,7c4a4c5d61f3,geo-diff-work_worker,15.41%,36039557,419430400,8.59%,6310000,80400000,29100000,0,2
15:26:29,917bdb4bcc11,geo-diff-work_worker,6.31%,37580963,419430400,8.96%,5480000,75800000,31600000,0,2
15:26:36,7c4a4c5d61f3,geo-diff-work_worker,8.06%,36291215,419430400,8.65%,7000000,87500000,29100000,0,2
15:26:36,917bdb4bcc11,geo-diff-work_worker,11.79%,37769707,419430400,9.00%,6120000,82900000,31600000,0,2
15:26:44,7c4a4c5d61f3,geo-diff-work_worker,15.04%,36469473,419430400,8.69%,7560000,93500000,29100000,0,2
15:26:44,917bdb4bcc11,geo-diff-work_worker,2.45%,37801164,419430400,9.01%,6640000,88200000,31600000,0,3
15:26:51,7c4a4c5d61f3,geo-diff-work_worker,14.22%,36616273,419430400,8.73%,8270000,103000000,29100000,0,2
15:26:51,917bdb4bcc11,geo-diff-work_worker,14.10%,37989908,419430400,9.06%,7380000,98500000,31600000,0,2
15:26:59,7c4a4c5d61f3,geo-diff-work_worker,4.49%,36794531,419430400,8.77%,8920000,112000000,29100000,0,2
15:26:59,917bdb4bcc11,geo-diff-work_worker,14.36%,38283509,419430400,9.13%,8119999,109000000,31600000,0,2
15:27:07,7c4a4c5d61f3,geo-diff-work_worker,4.49%,36825989,419430400,8.78%,9550000,120000000,29100000,0,2
15:27:07,917bdb4bcc11,geo-diff-work_worker,0.04%,38335938,419430400,9.14%,8760000,117000000,31600000,0,2
15:27:14,7c4a4c5d61f3,geo-diff-work_worker,16.47%,36899389,419430400,8.80%,10300000,127000000,29100000,0,3
15:27:14,917bdb4bcc11,geo-diff-work_worker,12.04%,38514196,419430400,9.18%,9340000,124000000,31600000,0,2
15:27:22,7c4a4c5d61f3,geo-diff-work_worker,2.81%,37098618,419430400,8.84%,10700000,132000000,29100000,0,3
15:27:22,917bdb4bcc11,geo-diff-work_worker,0.00%,38535168,419430400,9.19%,9850000,130000000,31600000,0,2
15:27:29,7c4a4c5d61f3,geo-diff-work_worker,15.60%,37276876,419430400,8.89%,11500000,140000000,29100000,0,2
15:27:29,917bdb4bcc11,geo-diff-work_worker,16.35%,38723911,419430400,9.23%,10400000,136000000,31600000,0,2
15:27:37,7c4a4c5d61f3,geo-diff-work_worker,4.86%,37297848,419430400,8.89%,12000000,146000000,29100000,0,3
15:27:37,917bdb4bcc11,geo-diff-work_worker,0.03%,38734397,419430400,9.24%,10900000,143000000,31600000,0,2
15:27:45,7c4a4c5d61f3,geo-diff-work_worker,16.65%,37276876,419430400,8.89%,12600000,155000000,29100000,0,2
15:27:45,917bdb4bcc11,geo-diff-work_worker,15.89%,38881198,419430400,9.27%,11500000,151000000,31600000,0,3
15:27:52,7c4a4c5d61f3,geo-diff-work_worker,3.87%,37392220,419430400,8.92%,13200000,163000000,29100000,0,2
15:27:52,917bdb4bcc11,geo-diff-work_worker,12.57%,38870712,419430400,9.27%,12100000,161000000,31600000,0,2
15:28:00,7c4a4c5d61f3,geo-diff-work_worker,10.85%,37539020,419430400,8.95%,13700000,170000000,29100000,0,3
15:28:00,917bdb4bcc11,geo-diff-work_worker,0.00%,39185285,419430400,9.34%,12600000,168000000,31600000,0,2
15:28:07,7c4a4c5d61f3,geo-diff-work_worker,2.08%,37528535,419430400,8.95%,14300000,176000000,29100000,0,2
15:28:07,917bdb4bcc11,geo-diff-work_worker,17.17%,39195770,419430400,9.34%,13300000,175000000,31600000,0,2
15:28:15,7c4a4c5d61f3,geo-diff-work_worker,11.78%,37717278,419430400,8.99%,14800000,181000000,29100000,0,2
15:28:15,917bdb4bcc11,geo-diff-work_worker,14.28%,39321600,419430400,9.38%,13900000,181000000,31600000,0,2
15:28:23,7c4a4c5d61f3,geo-diff-work_worker,12.59%,37958451,419430400,9.05%,15600000,190000000,29100000,0,2
15:28:23,917bdb4bcc11,geo-diff-work_worker,16.31%,39478886,419430400,9.41%,14500000,187000000,31600000,0,2
15:28:30,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38136709,419430400,9.09%,16300000,197000000,29100000,0,2
15:28:30,917bdb4bcc11,geo-diff-work_worker,1.74%,39646658,419430400,9.45%,15000000,196000000,31600000,0,2
15:28:38,7c4a4c5d61f3,geo-diff-work_worker,8.95%,38210109,419430400,9.11%,16900000,204000000,29100000,0,2
15:28:38,917bdb4bcc11,geo-diff-work_worker,17.15%,39699087,419430400,9.46%,15700000,205000000,31600000,0,2
15:28:45,7c4a4c5d61f3,geo-diff-work_worker,13.39%,38377881,419430400,9.15%,17800000,215000000,29100000,0,2
15:28:45,917bdb4bcc11,geo-diff-work_worker,13.67%,39929774,419430400,9.52%,16300000,214000000,31600000,0,2
15:28:53,7c4a4c5d61f3,geo-diff-work_worker,5.54%,38377881,419430400,9.15%,18400000,220000000,29100000,0,2
15:28:53,917bdb4bcc11,geo-diff-work_worker,0.00%,40055603,419430400,9.55%,16800000,220000000,31600000,0,2
15:29:00,7c4a4c5d61f3,geo-diff-work_worker,15.95%,38493224,419430400,9.18%,19300000,228000000,29100000,0,3
15:29:00,917bdb4bcc11,geo-diff-work_worker,11.47%,40244346,419430400,9.59%,17500000,227000000,31600000,0,2
15:29:08,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:29:08,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:29:16,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:29:16,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:29:23,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:29:23,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:29:31,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:29:31,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:29:38,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:29:38,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:29:46,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:29:46,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:29:54,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:29:54,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:01,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:01,917bdb4bcc11,geo-diff-work_worker,0.01%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:09,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:09,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:16,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:16,917bdb4bcc11,geo-diff-work_worker,0.01%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:24,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:24,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:31,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:31,917bdb4bcc11,geo-diff-work_worker,0.01%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:39,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:39,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:47,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:47,917bdb4bcc11,geo-diff-work_worker,0.01%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:30:54,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:30:54,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:02,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:02,917bdb4bcc11,geo-diff-work_worker,0.01%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:09,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:09,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:17,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:17,917bdb4bcc11,geo-diff-work_worker,0.01%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:24,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:24,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:32,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:32,917bdb4bcc11,geo-diff-work_worker,0.01%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:40,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:40,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:47,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:47,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:31:55,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:31:55,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:02,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:02,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:10,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:10,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:17,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:17,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:25,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:25,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:33,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:33,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:40,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:40,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:48,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:48,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:32:55,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:32:55,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:03,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:03,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:11,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:11,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:18,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:18,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:26,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:26,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:33,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:33,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:41,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:41,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:48,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:48,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:33:56,7c4a4c5d61f3,geo-diff-work_worker,0.01%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:33:56,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:34:04,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
15:34:04,917bdb4bcc11,geo-diff-work_worker,0.00%,40244346,419430400,9.59%,18100000,233000000,31600000,0,2
15:34:11,7c4a4c5d61f3,geo-diff-work_worker,0.00%,38482739,419430400,9.18%,19700000,232000000,29100000,0,2
