UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
15:10:41,1d66302b64b3,geo-diff-work_worker,0.00%,35064381,419430400,8.36%,1160,368,55300000,0,2
15:10:47,1d66302b64b3,geo-diff-work_worker,0.00%,35064381,419430400,8.36%,1270,410,55300000,0,2
15:10:54,1d66302b64b3,geo-diff-work_worker,0.00%,35714498,419430400,8.52%,1570,642,55500000,0,2
15:11:00,1d66302b64b3,geo-diff-work_worker,51.60%,39803944,419430400,9.49%,698000,7550000,61300000,0,3
15:11:07,1d66302b64b3,geo-diff-work_worker,34.91%,40233861,419430400,9.59%,2150000,29900000,61300000,0,2
15:11:13,1d66302b64b3,geo-diff-work_worker,12.36%,40401633,419430400,9.63%,2770000,40300000,61300000,0,2
15:11:20,1d66302b64b3,geo-diff-work_worker,6.40%,40810577,419430400,9.73%,3720000,52800000,61300000,0,2
15:11:27,1d66302b64b3,geo-diff-work_worker,20.72%,41072721,419430400,9.79%,4600000,63100000,61300000,0,2
15:11:33,3095ef3bedaf,geo-diff-work_worker,18.60%,34582036,419430400,8.25%,409000,4130000,6220000,0,3
15:11:33,1d66302b64b3,geo-diff-work_worker,15.36%,46409973,419430400,11.07%,5350000,71500000,61300000,0,3
15:11:41,3095ef3bedaf,geo-diff-work_worker,12.02%,34634465,419430400,8.26%,1010000,11300000,6220000,0,2
15:11:41,1d66302b64b3,geo-diff-work_worker,11.21%,46504345,419430400,11.09%,6110000,80000000,61300000,0,2
15:11:48,3095ef3bedaf,geo-diff-work_worker,0.00%,34749808,419430400,8.29%,1330000,16600000,6220000,0,2
15:11:48,1d66302b64b3,geo-diff-work_worker,5.16%,46787461,419430400,11.16%,6530000,87200000,61300000,0,2
15:11:56,3095ef3bedaf,geo-diff-work_worker,0.00%,34749808,419430400,8.29%,1410000,17600000,6220000,0,2
15:11:56,1d66302b64b3,geo-diff-work_worker,0.00%,46787461,419430400,11.16%,6580000,88000000,61300000,0,2
15:12:04,3095ef3bedaf,geo-diff-work_worker,2.05%,34749808,419430400,8.29%,1440000,18200000,6220000,0,2
15:12:04,1d66302b64b3,geo-diff-work_worker,2.06%,46787461,419430400,11.16%,6630000,88900000,61300000,0,2
15:12:11,3095ef3bedaf,geo-diff-work_worker,1.88%,34844180,419430400,8.31%,1500000,19100000,6220000,0,2
15:12:11,1d66302b64b3,geo-diff-work_worker,2.15%,46787461,419430400,11.16%,6700000,89900000,61300000,0,2
15:12:19,3095ef3bedaf,geo-diff-work_worker,0.00%,34865152,419430400,8.31%,1520000,19200000,6220000,0,2
15:12:19,1d66302b64b3,geo-diff-work_worker,0.00%,46787461,419430400,11.16%,6710000,90100000,61300000,0,2
15:12:26,1d66302b64b3,geo-diff-work_worker,0.00%,52470743,419430400,12.51%,6750000,90600000,61300000,0,2
15:12:33,1d66302b64b3,geo-diff-work_worker,2.02%,52470743,419430400,12.51%,6810000,91600000,61300000,0,2
15:12:40,1d66302b64b3,geo-diff-work_worker,0.00%,52470743,419430400,12.51%,6860000,92400000,61300000,0,2
15:12:46,1d66302b64b3,geo-diff-work_worker,0.00%,52470743,419430400,12.51%,6920000,93400000,61300000,0,2
15:12:53,1d66302b64b3,geo-diff-work_worker,1.99%,52470743,419430400,12.51%,6960000,94000000,61300000,0,2
15:12:59,1d66302b64b3,geo-diff-work_worker,0.04%,52470743,419430400,12.51%,7040000,95300000,61300000,0,2
15:13:11,dd7f5b31b6da,geo-diff-work_worker,0.00%,24945623,419430400,5.95%,2350,1460,2730000,0,2
15:13:18,dd7f5b31b6da,geo-diff-work_worker,2.22%,26602373,419430400,6.34%,99200,1190000,2730000,0,2
15:13:25,dd7f5b31b6da,geo-diff-work_worker,0.00%,27881635,419430400,6.65%,167000,1970000,2730000,0,2
15:13:31,dd7f5b31b6da,geo-diff-work_worker,0.00%,27881635,419430400,6.65%,167000,1970000,2730000,0,2
15:13:38,dd7f5b31b6da,geo-diff-work_worker,0.02%,27881635,419430400,6.65%,167000,1970000,2730000,0,2
15:13:44,dd7f5b31b6da,geo-diff-work_worker,0.00%,27881635,419430400,6.65%,167000,1970000,2730000,0,2
15:13:51,dd7f5b31b6da,geo-diff-work_worker,0.00%,27881635,419430400,6.65%,167000,1970000,2730000,0,2
15:13:58,dd7f5b31b6da,geo-diff-work_worker,0.01%,27881635,419430400,6.65%,167000,1970000,2730000,0,2
15:14:04,dd7f5b31b6da,geo-diff-work_worker,0.00%,27881635,419430400,6.65%,167000,1970000,2730000,0,2
15:14:11,dd7f5b31b6da,geo-diff-work_worker,1.90%,28447866,419430400,6.78%,293000,2940000,2730000,0,2
15:14:17,dd7f5b31b6da,geo-diff-work_worker,1.92%,28447866,419430400,6.78%,422000,4110000,2730000,0,2
15:14:24,dd7f5b31b6da,geo-diff-work_worker,1.93%,28479324,419430400,6.79%,505000,4930000,2730000,0,2
15:14:30,dd7f5b31b6da,geo-diff-work_worker,1.97%,28479324,419430400,6.79%,582000,5670000,2730000,0,2
15:14:37,dd7f5b31b6da,geo-diff-work_worker,0.04%,28479324,419430400,6.79%,688000,6540000,2730000,0,2
15:14:44,dd7f5b31b6da,geo-diff-work_worker,2.17%,28521267,419430400,6.80%,744000,7200000,2730000,0,2
15:14:50,dd7f5b31b6da,geo-diff-work_worker,1.67%,28521267,419430400,6.80%,826000,8070000,2730000,0,2
15:14:57,dd7f5b31b6da,geo-diff-work_worker,1.94%,28521267,419430400,6.80%,927000,9460000,2730000,0,2
15:15:03,dd7f5b31b6da,geo-diff-work_worker,1.76%,28521267,419430400,6.80%,1000000,10400000,2730000,0,2
15:15:10,dd7f5b31b6da,geo-diff-work_worker,24.03%,28594667,419430400,6.82%,1350000,15200000,2730000,0,2
15:15:16,dd7f5b31b6da,geo-diff-work_worker,13.27%,28909240,419430400,6.89%,2830000,30500000,2730000,0,2
15:15:23,dd7f5b31b6da,geo-diff-work_worker,0.00%,29097984,419430400,6.94%,3370000,35800000,2730000,0,2
15:15:30,dd7f5b31b6da,geo-diff-work_worker,2.26%,29097984,419430400,6.94%,3410000,35800000,2730000,0,2
15:15:36,dd7f5b31b6da,geo-diff-work_worker,0.00%,29097984,419430400,6.94%,3510000,36800000,2730000,0,2
15:15:43,dd7f5b31b6da,geo-diff-work_worker,0.00%,29097984,419430400,6.94%,3620000,37900000,2730000,0,2
15:15:49,dd7f5b31b6da,geo-diff-work_worker,0.00%,29307699,419430400,6.99%,3680000,38500000,2730000,0,2
15:15:56,dd7f5b31b6da,geo-diff-work_worker,2.01%,29412556,419430400,7.01%,3900000,40200000,2730000,0,2
15:16:03,dd7f5b31b6da,geo-diff-work_worker,1.96%,29412556,419430400,7.01%,3950000,40700000,2730000,0,2
15:16:09,dd7f5b31b6da,geo-diff-work_worker,0.04%,29412556,419430400,7.01%,4040000,41400000,2730000,0,2
15:16:16,dd7f5b31b6da,geo-diff-work_worker,1.87%,29412556,419430400,7.01%,4150000,42600000,2730000,0,2
15:16:22,dd7f5b31b6da,geo-diff-work_worker,2.05%,29412556,419430400,7.01%,4270000,43800000,2730000,0,2
15:16:29,dd7f5b31b6da,geo-diff-work_worker,0.00%,29412556,419430400,7.01%,4360000,44500000,2730000,0,2
15:16:35,dd7f5b31b6da,geo-diff-work_worker,2.77%,29412556,419430400,7.01%,4470000,45400000,2730000,0,2
15:16:42,dd7f5b31b6da,geo-diff-work_worker,0.00%,29412556,419430400,7.01%,4530000,46000000,2730000,0,2
15:16:49,dd7f5b31b6da,geo-diff-work_worker,2.04%,29412556,419430400,7.01%,4680000,47400000,2730000,0,2
15:16:55,dd7f5b31b6da,geo-diff-work_worker,1.99%,29412556,419430400,7.01%,4790000,48600000,2730000,0,2
15:17:02,dd7f5b31b6da,geo-diff-work_worker,0.00%,29412556,419430400,7.01%,4870000,49400000,2730000,0,2
15:17:08,dd7f5b31b6da,geo-diff-work_worker,2.09%,29423042,419430400,7.01%,5030000,50800000,2730000,0,2
15:17:15,dd7f5b31b6da,geo-diff-work_worker,2.05%,29433528,419430400,7.02%,5150000,51900000,2730000,0,2
