UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
13:48:50,7466dff7736b,geo-diff-work_worker,0.00%,24798822,419430400,5.91%,1240,368,4100,0,2
13:48:50,7fc4d9ab0c2a,geo-diff-work_worker,0.00%,24798822,419430400,5.91%,1240,368,4100,0,2
13:48:50,cf815cfa8a0e,geo-diff-work_worker,0.00%,26088570,419430400,6.22%,1240,368,15900000,0,2
13:48:58,7466dff7736b,geo-diff-work_worker,0.00%,25354567,419430400,6.05%,1750,642,4100,0,2
13:48:58,7fc4d9ab0c2a,geo-diff-work_worker,0.00%,25354567,419430400,6.05%,1750,642,4100,0,2
13:48:58,cf815cfa8a0e,geo-diff-work_worker,0.52%,26759659,419430400,6.38%,1750,642,16000000,0,2
13:49:05,7466dff7736b,geo-diff-work_worker,0.00%,25354567,419430400,6.05%,1870,684,4100,0,2
13:49:05,7fc4d9ab0c2a,geo-diff-work_worker,0.00%,25354567,419430400,6.05%,1870,684,4100,0,2
13:49:05,cf815cfa8a0e,geo-diff-work_worker,0.00%,26759659,419430400,6.38%,1870,684,16000000,0,2
13:49:13,7466dff7736b,geo-diff-work_worker,11.96%,29024583,419430400,6.92%,169000,1680000,4100,0,2
13:49:13,7fc4d9ab0c2a,geo-diff-work_worker,12.98%,28856811,419430400,6.88%,143000,1550000,8189,0,2
13:49:13,cf815cfa8a0e,geo-diff-work_worker,3.92%,29381099,419430400,7.00%,32200,232000,16000000,0,2
13:49:20,7fc4d9ab0c2a,geo-diff-work_worker,5.66%,29202841,419430400,6.96%,731000,9440000,8189,0,3
13:49:20,cf815cfa8a0e,geo-diff-work_worker,0.00%,30723276,419430400,7.32%,764000,9740000,16000000,0,2
13:49:28,4a5db0c2987f,geo-diff-work_worker,10.60%,28206694,419430400,6.72%,243000,3800000,0,0,2
13:49:28,cf815cfa8a0e,geo-diff-work_worker,0.00%,37413191,419430400,8.92%,1560000,22800000,16000000,0,2
13:49:36,4a5db0c2987f,geo-diff-work_worker,14.81%,28594667,419430400,6.82%,1050000,15200000,0,0,2
13:49:36,16746f4c7ac7,geo-diff-work_worker,14.80%,28374466,419430400,6.77%,232000,2500000,0,0,2
13:49:36,cf815cfa8a0e,geo-diff-work_worker,14.42%,37633392,419430400,8.97%,2210000,31700000,16000000,0,2
13:49:43,4a5db0c2987f,geo-diff-work_worker,12.29%,28867297,419430400,6.88%,1720000,22800000,0,0,2
13:49:43,16746f4c7ac7,geo-diff-work_worker,13.33%,28500295,419430400,6.80%,937000,10100000,0,0,3
13:49:43,cf815cfa8a0e,geo-diff-work_worker,14.42%,37853593,419430400,9.02%,2880000,39500000,16000000,0,2
13:49:51,4a5db0c2987f,geo-diff-work_worker,16.07%,28898754,419430400,6.89%,2480000,31300000,0,0,2
