UPTIME,CONTAINER ID,NAME,CPU %,MEM USAGE,MEM LIMIT,MEM %, NET I,NET O,BLOCK I,BLOCK O,PIDS
13:48:51,fe8f17f380b5,geo-diff-work_worker,0.00%,24830279,419430400,5.92%,1310,410,0,0,2
13:48:51,75d68faca92c,geo-diff-work_worker,0.00%,24872222,419430400,5.93%,1200,368,0,0,2
13:48:59,fe8f17f380b5,geo-diff-work_worker,0.00%,25396510,419430400,6.05%,1700,642,0,0,2
13:48:59,75d68faca92c,geo-diff-work_worker,0.00%,25438453,419430400,6.07%,1630,642,0,0,2
13:49:07,fe8f17f380b5,geo-diff-work_worker,0.50%,25490882,419430400,6.08%,3460,2300,0,0,2
13:49:07,75d68faca92c,geo-diff-work_worker,0.00%,25438453,419430400,6.07%,1740,684,0,0,2
13:49:14,fe8f17f380b5,geo-diff-work_worker,12.86%,29360128,419430400,7.00%,375000,3860000,0,0,2
13:49:14,75d68faca92c,geo-diff-work_worker,11.58%,29234298,419430400,6.97%,223000,2080000,0,0,3
13:49:22,fe8f17f380b5,geo-diff-work_worker,16.85%,29402071,419430400,7.01%,959000,13000000,0,0,2
13:49:22,75d68faca92c,geo-diff-work_worker,9.66%,29423042,419430400,7.02%,850000,11100000,0,0,3
13:49:29,fe8f17f380b5,geo-diff-work_worker,13.51%,29674700,419430400,7.08%,1600000,23500000,0,0,2
13:49:29,75d68faca92c,geo-diff-work_worker,0.00%,29727129,419430400,7.09%,1510000,22400000,0,0,2
13:49:37,44f2207e10fd,geo-diff-work_worker,11.95%,28301066,419430400,6.75%,151000,1740000,0,0,2
13:49:37,75d68faca92c,geo-diff-work_worker,0.00%,29989273,419430400,7.15%,2370000,34000000,0,0,2
13:49:45,44f2207e10fd,geo-diff-work_worker,4.01%,28636610,419430400,6.83%,890000,10300000,0,0,2
13:49:45,75d68faca92c,geo-diff-work_worker,13.40%,30031216,419430400,7.16%,3100000,42300000,0,0,2
13:49:52,44f2207e10fd,geo-diff-work_worker,10.63%,28835840,419430400,6.88%,1760000,20200000,0,0,2
13:49:52,75d68faca92c,geo-diff-work_worker,14.03%,30366760,419430400,7.24%,3890000,50900000,0,0,2
13:50:00,44f2207e10fd,geo-diff-work_worker,13.99%,29035069,419430400,6.92%,2360000,29400000,0,0,2
13:50:00,75d68faca92c,geo-diff-work_worker,15.94%,30744248,419430400,7.33%,4490000,59900000,0,0,3
13:50:07,44f2207e10fd,geo-diff-work_worker,13.57%,29056040,419430400,6.93%,2850000,37100000,0,0,2
13:50:07,75d68faca92c,geo-diff-work_worker,14.67%,30765219,419430400,7.33%,5150000,70700000,0,0,2
13:50:15,44f2207e10fd,geo-diff-work_worker,14.89%,29433528,419430400,7.02%,3620000,47500000,0,0,2
13:50:15,75d68faca92c,geo-diff-work_worker,15.10%,30974935,419430400,7.38%,5670000,78500000,0,0,2
13:50:23,44f2207e10fd,geo-diff-work_worker,14.90%,29643243,419430400,7.07%,4320000,55100000,0,0,2
13:50:30,b9dcf5c1e6e1,geo-diff-work_worker,15.71%,28626124,419430400,6.83%,601000,6370000,0,0,2
13:50:30,44f2207e10fd,geo-diff-work_worker,15.30%,29727129,419430400,7.09%,4980000,62100000,0,0,3
13:50:38,b9dcf5c1e6e1,geo-diff-work_worker,13.88%,28825354,419430400,6.87%,1230000,15300000,0,0,2
13:50:38,44f2207e10fd,geo-diff-work_worker,8.00%,30031216,419430400,7.16%,5700000,71500000,0,0,2
13:50:45,b9dcf5c1e6e1,geo-diff-work_worker,4.54%,28961669,419430400,6.90%,1820000,24500000,0,0,2
13:50:45,44f2207e10fd,geo-diff-work_worker,0.00%,30104616,419430400,7.18%,6370000,82100000,0,0,2
13:50:53,b9dcf5c1e6e1,geo-diff-work_worker,0.28%,29255270,419430400,6.98%,2580000,35500000,0,0,2
13:50:53,44f2207e10fd,geo-diff-work_worker,13.65%,30471618,419430400,7.26%,7230000,94200000,0,0,2
13:51:01,b9dcf5c1e6e1,geo-diff-work_worker,8.62%,29454499,419430400,7.02%,3410000,45000000,0,0,2
13:51:01,44f2207e10fd,geo-diff-work_worker,16.86%,30503075,419430400,7.27%,7890000,102000000,0,0,2
13:51:08,b9dcf5c1e6e1,geo-diff-work_worker,13.37%,29601300,419430400,7.06%,4110000,53100000,0,0,2
13:51:08,44f2207e10fd,geo-diff-work_worker,14.48%,30524047,419430400,7.28%,8620000,111000000,0,0,3
13:51:16,b9dcf5c1e6e1,geo-diff-work_worker,13.74%,29863444,419430400,7.12%,4800000,61700000,0,0,2
13:51:16,44f2207e10fd,geo-diff-work_worker,13.89%,30807162,419430400,7.34%,9300000,118000000,0,0,2
13:51:23,b9dcf5c1e6e1,geo-diff-work_worker,16.55%,30094131,419430400,7.17%,5470000,71900000,0,0,2
13:51:23,44f2207e10fd,geo-diff-work_worker,13.94%,30974935,419430400,7.38%,9970000,129000000,0,0,2
13:51:31,b9dcf5c1e6e1,geo-diff-work_worker,14.75%,30251417,419430400,7.21%,6140000,80800000,0,0,3
13:51:31,44f2207e10fd,geo-diff-work_worker,15.54%,31079792,419430400,7.41%,10700000,140000000,0,0,2
13:51:39,b9dcf5c1e6e1,geo-diff-work_worker,16.29%,30324817,419430400,7.23%,6840000,88800000,0,0,2
13:51:39,44f2207e10fd,geo-diff-work_worker,15.98%,31268536,419430400,7.46%,11400000,148000000,0,0,2
13:51:46,b9dcf5c1e6e1,geo-diff-work_worker,14.47%,30712791,419430400,7.32%,7700000,97900000,0,0,2
13:51:46,44f2207e10fd,geo-diff-work_worker,18.79%,31341936,419430400,7.47%,12100000,156000000,0,0,2
13:51:54,b9dcf5c1e6e1,geo-diff-work_worker,14.02%,30901534,419430400,7.37%,8410000,107000000,0,0,2
13:51:54,44f2207e10fd,geo-diff-work_worker,9.97%,31499223,419430400,7.51%,12900000,164000000,0,0,2
13:52:01,b9dcf5c1e6e1,geo-diff-work_worker,0.00%,30901534,419430400,7.37%,9000000,116000000,0,0,2
13:52:01,44f2207e10fd,geo-diff-work_worker,2.15%,31499223,419430400,7.51%,13600000,176000000,0,0,2
13:52:09,b9dcf5c1e6e1,geo-diff-work_worker,12.49%,31069306,419430400,7.41%,9850000,129000000,0,0,2
13:52:09,44f2207e10fd,geo-diff-work_worker,14.78%,31677480,419430400,7.55%,14400000,187000000,0,0,2
13:52:17,b9dcf5c1e6e1,geo-diff-work_worker,10.74%,31163678,419430400,7.43%,10600000,137000000,0,0,2
13:52:17,44f2207e10fd,geo-diff-work_worker,13.87%,31887196,419430400,7.60%,15100000,196000000,0,0,3
13:52:24,b9dcf5c1e6e1,geo-diff-work_worker,14.82%,31362908,419430400,7.48%,11200000,145000000,0,0,2
13:52:24,44f2207e10fd,geo-diff-work_worker,15.83%,32023511,419430400,7.63%,15800000,203000000,0,0,2
13:52:32,b9dcf5c1e6e1,geo-diff-work_worker,17.47%,31436308,419430400,7.50%,12100000,154000000,0,0,3
13:52:32,44f2207e10fd,geo-diff-work_worker,16.72%,32096911,419430400,7.65%,16700000,213000000,0,0,2
13:52:39,b9dcf5c1e6e1,geo-diff-work_worker,15.62%,31635537,419430400,7.54%,12700000,164000000,0,0,2
13:52:39,44f2207e10fd,geo-diff-work_worker,16.93%,32254197,419430400,7.69%,17300000,224000000,0,0,2
13:52:47,b9dcf5c1e6e1,geo-diff-work_worker,12.18%,31729909,419430400,7.57%,13300000,174000000,0,0,3
13:52:47,44f2207e10fd,geo-diff-work_worker,14.91%,32463912,419430400,7.74%,18000000,234000000,0,0,2
13:52:55,b9dcf5c1e6e1,geo-diff-work_worker,16.82%,31845253,419430400,7.59%,14100000,183000000,0,0,2
13:52:55,44f2207e10fd,geo-diff-work_worker,15.32%,32684113,419430400,7.79%,18800000,243000000,0,0,3
13:53:02,b9dcf5c1e6e1,geo-diff-work_worker,13.71%,31929139,419430400,7.61%,14900000,192000000,0,0,2
13:53:02,44f2207e10fd,geo-diff-work_worker,17.59%,32663142,419430400,7.79%,19600000,252000000,0,0,2
13:53:10,b9dcf5c1e6e1,geo-diff-work_worker,14.93%,32054968,419430400,7.64%,15700000,201000000,0,0,2
13:53:10,44f2207e10fd,geo-diff-work_worker,6.30%,32904314,419430400,7.85%,20400000,261000000,0,0,3
13:53:17,b9dcf5c1e6e1,geo-diff-work_worker,6.13%,32233226,419430400,7.68%,16399999,211000000,0,0,3
13:53:17,44f2207e10fd,geo-diff-work_worker,0.00%,33072087,419430400,7.88%,21100000,271000000,0,0,2
13:53:25,b9dcf5c1e6e1,geo-diff-work_worker,3.81%,32558284,419430400,7.76%,17200000,223000000,0,0,2
13:53:25,44f2207e10fd,geo-diff-work_worker,11.47%,33103544,419430400,7.89%,22000000,284000000,0,0,2
13:53:33,b9dcf5c1e6e1,geo-diff-work_worker,9.09%,32747028,419430400,7.81%,18000000,232000000,0,0,2
13:53:33,44f2207e10fd,geo-diff-work_worker,15.52%,33313259,419430400,7.94%,22800000,293000000,0,0,3
13:53:40,b9dcf5c1e6e1,geo-diff-work_worker,4.01%,32883343,419430400,7.84%,18600000,239000000,0,0,2
13:53:40,44f2207e10fd,geo-diff-work_worker,15.27%,33292288,419430400,7.94%,23500000,300000000,0,0,2
13:53:48,b9dcf5c1e6e1,geo-diff-work_worker,18.39%,32883343,419430400,7.84%,19500000,249000000,0,0,2
13:53:48,44f2207e10fd,geo-diff-work_worker,13.32%,33470545,419430400,7.98%,24300000,309000000,0,0,2
13:53:56,b9dcf5c1e6e1,geo-diff-work_worker,11.57%,32988200,419430400,7.86%,20000000,257000000,0,0,3
13:53:56,44f2207e10fd,geo-diff-work_worker,16.78%,33732689,419430400,8.04%,25100000,321000000,0,0,2
13:54:03,b9dcf5c1e6e1,geo-diff-work_worker,11.94%,33239859,419430400,7.93%,20900000,269000000,0,0,2
13:54:03,44f2207e10fd,geo-diff-work_worker,15.72%,33931919,419430400,8.09%,25600000,328000000,0,0,2
13:54:11,b9dcf5c1e6e1,geo-diff-work_worker,16.56%,33260830,419430400,7.93%,21600000,277000000,0,0,2
13:54:11,44f2207e10fd,geo-diff-work_worker,15.82%,33984348,419430400,8.10%,26400000,337000000,0,0,2
13:54:18,b9dcf5c1e6e1,geo-diff-work_worker,16.07%,33481031,419430400,7.98%,22400000,286000000,0,0,2
13:54:18,44f2207e10fd,geo-diff-work_worker,14.75%,34204549,419430400,8.16%,27100000,344000000,0,0,3
13:54:26,b9dcf5c1e6e1,geo-diff-work_worker,14.30%,33680261,419430400,8.03%,23200000,294000000,0,0,2
13:54:26,44f2207e10fd,geo-diff-work_worker,8.86%,34424750,419430400,8.21%,27800000,352000000,0,0,2
13:54:33,b9dcf5c1e6e1,geo-diff-work_worker,9.65%,33680261,419430400,8.03%,23800000,304000000,0,0,2
13:54:33,44f2207e10fd,geo-diff-work_worker,0.00%,34644951,419430400,8.26%,28400000,362000000,0,0,2
13:54:41,b9dcf5c1e6e1,geo-diff-work_worker,0.00%,33711718,419430400,8.04%,24400000,314000000,0,0,2
13:54:41,44f2207e10fd,geo-diff-work_worker,5.54%,34644951,419430400,8.26%,29000000,372000000,0,0,2
13:54:49,b9dcf5c1e6e1,geo-diff-work_worker,0.00%,33869004,419430400,8.08%,25300000,325000000,0,0,2
13:54:49,44f2207e10fd,geo-diff-work_worker,17.34%,34644951,419430400,8.26%,29800000,383000000,0,0,2
13:54:56,b9dcf5c1e6e1,geo-diff-work_worker,1.95%,34068234,419430400,8.12%,26000000,334000000,0,0,2
13:54:56,44f2207e10fd,geo-diff-work_worker,16.51%,34854666,419430400,8.31%,30600000,391000000,0,0,2
13:55:04,b9dcf5c1e6e1,geo-diff-work_worker,10.38%,34277949,419430400,8.17%,26800000,343000000,0,0,2
13:55:04,44f2207e10fd,geo-diff-work_worker,15.89%,34854666,419430400,8.31%,31400000,400000000,0,0,2
13:55:11,b9dcf5c1e6e1,geo-diff-work_worker,12.05%,34414264,419430400,8.20%,27500000,353000000,0,0,2
13:55:11,44f2207e10fd,geo-diff-work_worker,15.68%,34875637,419430400,8.31%,31900000,409000000,0,0,3
13:55:19,b9dcf5c1e6e1,geo-diff-work_worker,15.38%,34445721,419430400,8.21%,28100000,363000000,0,0,2
